Number,Style,Section,Intro,you_form_male_text,you_form_female_text,he_form_male_text,she_form_female_text
302,3,2,1,"While NAME may be creative, it’s not a core part of their personality. you_form_male_text","While NAME may be creative, it’s not a core part of their personality. you_form_female_text","While NAME may be creative, it’s not a core part of their personality. he_form_male_text","While NAME may be creative, it’s not a core part of their personality. she_form_female_text"
401,4,1,1,"Nearly everyone likes to travel, but for NAME, it’s even more important. Spontaneous, exciting adventures energize them.
Some people are obsessive about planning every little detail ahead of time, but not NAME. They aren’t completely opposed to planning, though.
NAME is willing to take risks. you_form_male_text","Nearly everyone likes to travel, but for NAME, it’s even more important. Spontaneous, exciting adventures energize them.
Some people are obsessive about planning every little detail ahead of time, but not NAME. They aren’t completely opposed to planning, though.
NAME is willing to take risks. you_form_female_text","Nearly everyone likes to travel, but for NAME, it’s even more important. Spontaneous, exciting adventures energize them.
Some people are obsessive about planning every little detail ahead of time, but not NAME. They aren’t completely opposed to planning, though.
NAME is willing to take risks. he_form_male_text","Nearly everyone likes to travel, but for NAME, it’s even more important. Spontaneous, exciting adventures energize them.
Some people are obsessive about planning every little detail ahead of time, but not NAME. They aren’t completely opposed to planning, though.
NAME is willing to take risks. she_form_female_text"
402,4,2,1,"NAME is generally cautious, particularly in romantic relationships. They can be counted on to follow rules and procedures.
Unlike adrenaline junkies, they don’t like reckless, extreme, or dangerous activities. This doesn’t make them boring, they just get their satisfaction in other ways. you_form_male_text","NAME is generally cautious, particularly in romantic relationships. They can be counted on to follow rules and procedures.
Unlike adrenaline junkies, they don’t like reckless, extreme, or dangerous activities. This doesn’t make them boring, they just get their satisfaction in other ways. you_form_female_text","NAME is generally cautious, particularly in romantic relationships. They can be counted on to follow rules and procedures.
Unlike adrenaline junkies, they don’t like reckless, extreme, or dangerous activities. This doesn’t make them boring, they just get their satisfaction in other ways. he_form_male_text","NAME is generally cautious, particularly in romantic relationships. They can be counted on to follow rules and procedures.
Unlike adrenaline junkies, they don’t like reckless, extreme, or dangerous activities. This doesn’t make them boring, they just get their satisfaction in other ways. she_form_female_text"
403,4,3,1,"Some people love to travel and have exciting adventures. Others are cautious and follow rules.
NAME is more moderate than those who are on either of these extremes. You probably won’t find them skydiving, but they also aren’t particularly cautious. you_form_male_text","Some people love to travel and have exciting adventures. Others are cautious and follow rules.
NAME is more moderate than those who are on either of these extremes. You probably won’t find them skydiving, but they also aren’t particularly cautious. you_form_female_text","Some people love to travel and have exciting adventures. Others are cautious and follow rules.
NAME is more moderate than those who are on either of these extremes. You probably won’t find them skydiving, but they also aren’t particularly cautious. he_form_male_text","Some people love to travel and have exciting adventures. Others are cautious and follow rules.
NAME is more moderate than those who are on either of these extremes. You probably won’t find them skydiving, but they also aren’t particularly cautious. she_form_female_text"
501,5,1,1,"Some people find the predictability of rules comforting. Not NAME. They don’t like being constrained, and prefer to do things their own way.
For NAME, rules represent a box that is not only limiting, but inherently ​boring​. you_form_male_text","Some people find the predictability of rules comforting. Not NAME. They don’t like being constrained, and prefer to do things their own way.
For NAME, rules represent a box that is not only limiting, but inherently ​boring​. you_form_female_text","Some people find the predictability of rules comforting. Not NAME. They don’t like being constrained, and prefer to do things their own way.
For NAME, rules represent a box that is not only limiting, but inherently ​boring​. he_form_male_text","Some people find the predictability of rules comforting. Not NAME. They don’t like being constrained, and prefer to do things their own way.
For NAME, rules represent a box that is not only limiting, but inherently ​boring​. she_form_female_text"
502,5,2,1,"NAME respects authority and follows the rules. Whether it’s at work or in their personal life, they prefer that others follow the rules too. you_form_male_text","NAME respects authority and follows the rules. Whether it’s at work or in their personal life, they prefer that others follow the rules too. you_form_female_text","NAME respects authority and follows the rules. Whether it’s at work or in their personal life, they prefer that others follow the rules too. he_form_male_text","NAME respects authority and follows the rules. Whether it’s at work or in their personal life, they prefer that others follow the rules too. she_form_female_text"
503,5,3,1,"Some people like rules and order. Others are more rebellious - they feel rules are constraining and tend to break them.
NAME doesn’t really care either way. They are flexible and will get on fine with both kinds of people. you_form_male_text","Some people like rules and order. Others are more rebellious - they feel rules are constraining and tend to break them.
NAME doesn’t really care either way. They are flexible and will get on fine with both kinds of people. you_form_female_text","Some people like rules and order. Others are more rebellious - they feel rules are constraining and tend to break them.
NAME doesn’t really care either way. They are flexible and will get on fine with both kinds of people. he_form_male_text","Some people like rules and order. Others are more rebellious - they feel rules are constraining and tend to break them.
NAME doesn’t really care either way. They are flexible and will get on fine with both kinds of people. she_form_female_text"
601,6,1,1,"Most people think of variety as a preference, a nice to have. But as it turns out, it’s not. For NAME, variety and new experiences are a ​need.​ New experiences energize them. If they did the same thing every day, they would become deeply unhappy.
That doesn’t necessarily mean that they constantly need those new experiences. Everyone has an ideal balance. you_form_male_text","Most people think of variety as a preference, a nice to have. But as it turns out, it’s not. For NAME, variety and new experiences are a ​need.​ New experiences energize them. If they did the same thing every day, they would become deeply unhappy.
That doesn’t necessarily mean that they constantly need those new experiences. Everyone has an ideal balance. you_form_female_text","Most people think of variety as a preference, a nice to have. But as it turns out, it’s not. For NAME, variety and new experiences are a ​need.​ New experiences energize them. If they did the same thing every day, they would become deeply unhappy.
That doesn’t necessarily mean that they constantly need those new experiences. Everyone has an ideal balance. he_form_male_text","Most people think of variety as a preference, a nice to have. But as it turns out, it’s not. For NAME, variety and new experiences are a ​need.​ New experiences energize them. If they did the same thing every day, they would become deeply unhappy.
That doesn’t necessarily mean that they constantly need those new experiences. Everyone has an ideal balance. she_form_female_text"
602,6,2,1,"For some people, variety and new experiences energize them. They need it.
While NAME isn’t necessarily against variety or trying new things, it’s really not that important to them. you_form_male_text","For some people, variety and new experiences energize them. They need it.
While NAME isn’t necessarily against variety or trying new things, it’s really not that important to them. you_form_female_text","For some people, variety and new experiences energize them. They need it.
While NAME isn’t necessarily against variety or trying new things, it’s really not that important to them. he_form_male_text","For some people, variety and new experiences energize them. They need it.
While NAME isn’t necessarily against variety or trying new things, it’s really not that important to them. she_form_female_text"
701,8,1,1,"It’s extremely important to you to do excellent work. To do things really well. You detect mistakes and want every detail taken care of.
This is a strength of yours.
You might even say that you’re a perfectionist.
Be careful though. At extremes, the search for perfection could actually paralyze you and prevent you from creating good work.
As Voltaire said,
<blockquote>Perfect is the enemy of good.</blockquote> you_form_male_text","It’s extremely important to you to do excellent work. To do things really well. You detect mistakes and want every detail taken care of.
This is a strength of yours.
You might even say that you’re a perfectionist.
Be careful though. At extremes, the search for perfection could actually paralyze you and prevent you from creating good work.
As Voltaire said,
<blockquote>Perfect is the enemy of good.</blockquote> you_form_female_text","It’s extremely important to you to do excellent work. To do things really well. You detect mistakes and want every detail taken care of.
This is a strength of yours.
You might even say that you’re a perfectionist.
Be careful though. At extremes, the search for perfection could actually paralyze you and prevent you from creating good work.
As Voltaire said,
<blockquote>Perfect is the enemy of good.</blockquote> he_form_male_text","It’s extremely important to you to do excellent work. To do things really well. You detect mistakes and want every detail taken care of.
This is a strength of yours.
You might even say that you’re a perfectionist.
Be careful though. At extremes, the search for perfection could actually paralyze you and prevent you from creating good work.
As Voltaire said,
<blockquote>Perfect is the enemy of good.</blockquote> she_form_female_text"
702,8,2,1,"NAME isn’t a perfectionist. Little mistakes don’t drive them crazy like they do some people. They do care about quality work, but they aren’t going to keep pushing and pushing until everything is perfect. you_form_male_text","NAME isn’t a perfectionist. Little mistakes don’t drive them crazy like they do some people. They do care about quality work, but they aren’t going to keep pushing and pushing until everything is perfect. you_form_female_text","NAME isn’t a perfectionist. Little mistakes don’t drive them crazy like they do some people. They do care about quality work, but they aren’t going to keep pushing and pushing until everything is perfect. he_form_male_text","NAME isn’t a perfectionist. Little mistakes don’t drive them crazy like they do some people. They do care about quality work, but they aren’t going to keep pushing and pushing until everything is perfect. she_form_female_text"
801,9,1,1,"While some people get distracted by things like emotions or hard work, you stay focused on what’s more important to you - the end result.
That said, emotions are also important to you. They’re a guiding influence in your life. However, you’re more emotionally guarded than some. You may not be fully comfortable expressing what you feel.
This may be why you see things in terms of actions and results, more than feelings. you_form_male_text","While some people get distracted by things like emotions or hard work, you stay focused on what’s more important to you - the end result.
That said, emotions are also important to you. They’re a guiding influence in your life. However, you’re more emotionally guarded than some. You may not be fully comfortable expressing what you feel.
This may be why you see things in terms of actions and results, more than feelings. you_form_female_text","While some people get distracted by things like emotions or hard work, you stay focused on what’s more important to you - the end result.
That said, emotions are also important to you. They’re a guiding influence in your life. However, you’re more emotionally guarded than some. You may not be fully comfortable expressing what you feel.
This may be why you see things in terms of actions and results, more than feelings. he_form_male_text","While some people get distracted by things like emotions or hard work, you stay focused on what’s more important to you - the end result.
That said, emotions are also important to you. They’re a guiding influence in your life. However, you’re more emotionally guarded than some. You may not be fully comfortable expressing what you feel.
This may be why you see things in terms of actions and results, more than feelings. she_form_female_text"
802,9,2,1,"You aren’t the most emotionally expressive person. You might even be confused why other people put so much emphasis on feelings.
You still form strong bonds with people, but they aren’t based on deep emotional connection. you_form_male_text","You aren’t the most emotionally expressive person. You might even be confused why other people put so much emphasis on feelings.
You still form strong bonds with people, but they aren’t based on deep emotional connection. you_form_female_text","You aren’t the most emotionally expressive person. You might even be confused why other people put so much emphasis on feelings.
You still form strong bonds with people, but they aren’t based on deep emotional connection. he_form_male_text","You aren’t the most emotionally expressive person. You might even be confused why other people put so much emphasis on feelings.
You still form strong bonds with people, but they aren’t based on deep emotional connection. she_form_female_text"
803,9,3,1,"You connect with people primarily through feelings.
“Doesn’t everyone?!,” you ask. It turns out, no.
This may be inconceivable to you, but for some, emotional connection is just one aspect of life. For others, it barely matters.
You’ve probably experienced the profound joy of connecting deeply with another person, and the intense frustration of not being able to connect with someone you care about. It’s not you. Some people just aren’t as open to it. you_form_male_text","You connect with people primarily through feelings.
“Doesn’t everyone?!,” you ask. It turns out, no.
This may be inconceivable to you, but for some, emotional connection is just one aspect of life. For others, it barely matters.
You’ve probably experienced the profound joy of connecting deeply with another person, and the intense frustration of not being able to connect with someone you care about. It’s not you. Some people just aren’t as open to it. you_form_female_text","You connect with people primarily through feelings.
“Doesn’t everyone?!,” you ask. It turns out, no.
This may be inconceivable to you, but for some, emotional connection is just one aspect of life. For others, it barely matters.
You’ve probably experienced the profound joy of connecting deeply with another person, and the intense frustration of not being able to connect with someone you care about. It’s not you. Some people just aren’t as open to it. he_form_male_text","You connect with people primarily through feelings.
“Doesn’t everyone?!,” you ask. It turns out, no.
This may be inconceivable to you, but for some, emotional connection is just one aspect of life. For others, it barely matters.
You’ve probably experienced the profound joy of connecting deeply with another person, and the intense frustration of not being able to connect with someone you care about. It’s not you. Some people just aren’t as open to it. she_form_female_text"
804,9,4,1,"You’re comfortable with emotions.
You aren’t afraid of showing your emotions. And while you’re aware of others’ emotions, you don’t really get overwhelmed by them.
Simply put, you’re emotionally stable.
This means you’re able to enjoy your present successes. you_form_male_text","You’re comfortable with emotions.
You aren’t afraid of showing your emotions. And while you’re aware of others’ emotions, you don’t really get overwhelmed by them.
Simply put, you’re emotionally stable.
This means you’re able to enjoy your present successes. you_form_female_text","You’re comfortable with emotions.
You aren’t afraid of showing your emotions. And while you’re aware of others’ emotions, you don’t really get overwhelmed by them.
Simply put, you’re emotionally stable.
This means you’re able to enjoy your present successes. he_form_male_text","You’re comfortable with emotions.
You aren’t afraid of showing your emotions. And while you’re aware of others’ emotions, you don’t really get overwhelmed by them.
Simply put, you’re emotionally stable.
This means you’re able to enjoy your present successes. she_form_female_text"
901,10,1,1,"It’s important to NAME to keep organized. They always put things back where they belong.
NAME also prefers to do things according to plans. Especially at work, their planning and organization skills are a strength. you_form_male_text","It’s important to NAME to keep organized. They always put things back where they belong.
NAME also prefers to do things according to plans. Especially at work, their planning and organization skills are a strength. you_form_female_text","It’s important to NAME to keep organized. They always put things back where they belong.
NAME also prefers to do things according to plans. Especially at work, their planning and organization skills are a strength. he_form_male_text","It’s important to NAME to keep organized. They always put things back where they belong.
NAME also prefers to do things according to plans. Especially at work, their planning and organization skills are a strength. she_form_female_text"
902,10,2,1,"NAME probably isn’t the most organized person you know. They can tidy up if they need to, but a messy environment doesn’t bother them.
If they live with someone who needs everything to be perfectly organized, there’s likely to be friction. you_form_male_text","NAME probably isn’t the most organized person you know. They can tidy up if they need to, but a messy environment doesn’t bother them.
If they live with someone who needs everything to be perfectly organized, there’s likely to be friction. you_form_female_text","NAME probably isn’t the most organized person you know. They can tidy up if they need to, but a messy environment doesn’t bother them.
If they live with someone who needs everything to be perfectly organized, there’s likely to be friction. he_form_male_text","NAME probably isn’t the most organized person you know. They can tidy up if they need to, but a messy environment doesn’t bother them.
If they live with someone who needs everything to be perfectly organized, there’s likely to be friction. she_form_female_text"
1001,11,1,1,"You know what your goals are. You’re driven to accomplish them. And you’re willing to do what is necessary to achieve them - like investing in your personal growth and working hard.
Working to realize your goals is automatic and natural for you. So it may be surprising that many people don’t have goals and aren’t working towards anything - even in areas of their life where they are deeply unsatisfied. you_form_male_text","You know what your goals are. You’re driven to accomplish them. And you’re willing to do what is necessary to achieve them - like investing in your personal growth and working hard.
Working to realize your goals is automatic and natural for you. So it may be surprising that many people don’t have goals and aren’t working towards anything - even in areas of their life where they are deeply unsatisfied. you_form_female_text","You know what your goals are. You’re driven to accomplish them. And you’re willing to do what is necessary to achieve them - like investing in your personal growth and working hard.
Working to realize your goals is automatic and natural for you. So it may be surprising that many people don’t have goals and aren’t working towards anything - even in areas of their life where they are deeply unsatisfied. he_form_male_text","You know what your goals are. You’re driven to accomplish them. And you’re willing to do what is necessary to achieve them - like investing in your personal growth and working hard.
Working to realize your goals is automatic and natural for you. So it may be surprising that many people don’t have goals and aren’t working towards anything - even in areas of their life where they are deeply unsatisfied. she_form_female_text"
1002,11,2,0,"While some people spend lots of time thinking about the future, NAME is more relaxed. you_form_male_text","While some people spend lots of time thinking about the future, NAME is more relaxed. you_form_female_text","While some people spend lots of time thinking about the future, NAME is more relaxed. he_form_male_text","While some people spend lots of time thinking about the future, NAME is more relaxed. she_form_female_text"
1003,11,3,1,"You are strongly driven to succeed in life. You know what your goals are and are driven to accomplish them. And you’re willing to do what is necessary to achieve them - like investing in your personal growth and working really hard.
You’re very future-oriented. You visualize the future, and like to plan in advance so that you’re ready for anything.
Working to realize your goals is automatic and natural for you. So it may be surprising that many people don’t have goals and aren’t working towards anything - even in areas of their life where they are deeply unsatisfied. you_form_male_text","You are strongly driven to succeed in life. You know what your goals are and are driven to accomplish them. And you’re willing to do what is necessary to achieve them - like investing in your personal growth and working really hard.
You’re very future-oriented. You visualize the future, and like to plan in advance so that you’re ready for anything.
Working to realize your goals is automatic and natural for you. So it may be surprising that many people don’t have goals and aren’t working towards anything - even in areas of their life where they are deeply unsatisfied. you_form_female_text","You are strongly driven to succeed in life. You know what your goals are and are driven to accomplish them. And you’re willing to do what is necessary to achieve them - like investing in your personal growth and working really hard.
You’re very future-oriented. You visualize the future, and like to plan in advance so that you’re ready for anything.
Working to realize your goals is automatic and natural for you. So it may be surprising that many people don’t have goals and aren’t working towards anything - even in areas of their life where they are deeply unsatisfied. he_form_male_text","You are strongly driven to succeed in life. You know what your goals are and are driven to accomplish them. And you’re willing to do what is necessary to achieve them - like investing in your personal growth and working really hard.
You’re very future-oriented. You visualize the future, and like to plan in advance so that you’re ready for anything.
Working to realize your goals is automatic and natural for you. So it may be surprising that many people don’t have goals and aren’t working towards anything - even in areas of their life where they are deeply unsatisfied. she_form_female_text"
1004,11,4,1,"You’re generally happy to just chill.
However, when there’s something really important to you, you’ll work towards it.
You do better in structured environments where there is clear guidance on what to do when. For example, if you wanted to learn something, you’d look for a structured course with step-by-step directions.
This structure gives you motivation. You know what to do and can focus on doing it. It’s hard to be motivated when it’s not clear what you should be doing, after all. you_form_male_text","You’re generally happy to just chill.
However, when there’s something really important to you, you’ll work towards it.
You do better in structured environments where there is clear guidance on what to do when. For example, if you wanted to learn something, you’d look for a structured course with step-by-step directions.
This structure gives you motivation. You know what to do and can focus on doing it. It’s hard to be motivated when it’s not clear what you should be doing, after all. you_form_female_text","You’re generally happy to just chill.
However, when there’s something really important to you, you’ll work towards it.
You do better in structured environments where there is clear guidance on what to do when. For example, if you wanted to learn something, you’d look for a structured course with step-by-step directions.
This structure gives you motivation. You know what to do and can focus on doing it. It’s hard to be motivated when it’s not clear what you should be doing, after all. he_form_male_text","You’re generally happy to just chill.
However, when there’s something really important to you, you’ll work towards it.
You do better in structured environments where there is clear guidance on what to do when. For example, if you wanted to learn something, you’d look for a structured course with step-by-step directions.
This structure gives you motivation. You know what to do and can focus on doing it. It’s hard to be motivated when it’s not clear what you should be doing, after all. she_form_female_text"
1005,11,5,1,"You have dreams for your life and for your future, which you think about all the time.
But for some reason, you find it harder than most to put in the work to achieve those dreams. You need a push to get started. You tend to get lost in the details, losing sight of the big picture.
It’s tough. You have a vision of the future. But you just can’t seem to find the energy to put in the work necessary to actually achieve your vision. It’s disheartening.
You’ll find that having someone to keep you on track is helpful to keep you focused and making progress. you_form_male_text","You have dreams for your life and for your future, which you think about all the time.
But for some reason, you find it harder than most to put in the work to achieve those dreams. You need a push to get started. You tend to get lost in the details, losing sight of the big picture.
It’s tough. You have a vision of the future. But you just can’t seem to find the energy to put in the work necessary to actually achieve your vision. It’s disheartening.
You’ll find that having someone to keep you on track is helpful to keep you focused and making progress. you_form_female_text","You have dreams for your life and for your future, which you think about all the time.
But for some reason, you find it harder than most to put in the work to achieve those dreams. You need a push to get started. You tend to get lost in the details, losing sight of the big picture.
It’s tough. You have a vision of the future. But you just can’t seem to find the energy to put in the work necessary to actually achieve your vision. It’s disheartening.
You’ll find that having someone to keep you on track is helpful to keep you focused and making progress. he_form_male_text","You have dreams for your life and for your future, which you think about all the time.
But for some reason, you find it harder than most to put in the work to achieve those dreams. You need a push to get started. You tend to get lost in the details, losing sight of the big picture.
It’s tough. You have a vision of the future. But you just can’t seem to find the energy to put in the work necessary to actually achieve your vision. It’s disheartening.
You’ll find that having someone to keep you on track is helpful to keep you focused and making progress. she_form_female_text"
